RC , time (s) , Vin (V) , Vout (V) 
0.1  
      16.382,     1.0,    -1e-12
      16.482,     1.0,    -1e-12
      16.583,     1.0,    -1e-12
      16.683,     1.0,    -1e-12
      16.784,     1.0,    -1e-12
      16.884,     1.0,    -1e-12
      16.985,     1.0,    -1e-12
      17.085,    -1.0,     1e-12
      17.186,    -1.0,     1e-12
      17.286,    -1.0,     1e-12
      17.387,    -1.0,     1e-12
      17.487,    -1.0,     1e-12
      17.588,    -1.0,     1e-12
      17.688,    -1.0,     1e-12
      17.789,    -1.0,     1e-12
      17.889,    -1.0,     1e-12
       17.99,    -1.0,     1e-12
       18.09,     1.0,    -1e-12
      18.191,     1.0,    -1e-12
      18.291,     1.0,    -1e-12
      18.392,     1.0,    -1e-12
      18.492,     1.0,    -1e-12
      18.593,     1.0,    -1e-12
      18.693,     1.0,    -1e-12
      18.794,     1.0,    -1e-12
      18.894,     1.0,    -1e-12
      18.995,     1.0,    -1e-12
      19.095,    -1.0,     1e-12
      19.196,    -1.0,     1e-12
      19.296,    -1.0,     1e-12
      19.397,    -1.0,     1e-12
      19.497,    -1.0,     1e-12
      19.598,    -1.0,     1e-12
      19.698,    -1.0,     1e-12
      19.799,    -1.0,     1e-12
      19.899,    -1.0,     1e-12
        20.0,     1.0,    -1e-12
0.5  
         0.0,     1.0,    -5e-12
       0.101,     1.0,    -5e-12
       0.201,     1.0,    -5e-12
       0.302,     1.0,    -5e-12
       0.402,     1.0,    -5e-12
       0.503,     1.0,    -5e-12
       0.603,     1.0,    -5e-12
       0.704,     1.0,    -5e-12
       0.804,     1.0,    -5e-12
       0.905,     1.0,    -5e-12
       1.005,    -1.0,     5e-12
       1.106,    -1.0,     5e-12
       1.206,    -1.0,     5e-12
       1.307,    -1.0,     5e-12
       1.407,    -1.0,     5e-12
       1.508,    -1.0,     5e-12
       1.608,    -1.0,     5e-12
       1.709,    -1.0,     5e-12
       1.809,    -1.0,     5e-12
        1.91,    -1.0,     5e-12
        2.01,     1.0,    -5e-12
       2.111,     1.0,    -5e-12
       2.211,     1.0,    -5e-12
       2.312,     1.0,    -5e-12
       2.412,     1.0,    -5e-12
       2.513,     1.0,    -5e-12
       2.613,     1.0,    -5e-12
       2.714,     1.0,    -5e-12
       2.814,     1.0,    -5e-12
       2.915,     1.0,    -5e-12
       3.015,    -1.0,     5e-12
       3.116,    -1.0,     5e-12
       3.216,    -1.0,     5e-12
       3.317,    -1.0,     5e-12
       3.417,    -1.0,     5e-12
       3.518,    -1.0,     5e-12
       3.618,    -1.0,     5e-12
       3.719,    -1.0,     5e-12
       3.819,    -1.0,     5e-12
        3.92,    -1.0,     5e-12
        4.02,     1.0,    -5e-12
       4.121,     1.0,    -5e-12
       4.221,     1.0,    -5e-12
